Date,Circular_No,Category,Subject,Direction,Stock_Index,Event_Type,VIX_Level,VIX_5D_Change_Pct,Nifty_10D_HVol,Nifty_10D_Return,BankNifty_5D_HVol
2018-01-09,NSE/CMPT/36706,Intra-day Loss Margin,Margin provisions for intra-day crystallised losses,,See PDF,,13.74,0.37,8.09,1.24,7.93
2018-01-29,NSE/CMPT/36851,Other Margin Circular,Daily file for Exposure margin,,Multiple Stocks - MWPL,,17.51,25.25,7.73,3.64,10.28
2018-01-30,NSE/CMPT/36865,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,17.89,16.24,7.72,3.62,10.08
2018-02-27,NSE/CMPT/37068,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,13.7,-18.79,10.66,0.41,16.04
2018-02-28,NSE/CMPT/37071,Additional Margin Measure,Additional Risk Management measures for long dated option contracts,Hike,See PDF,,13.92,-12.56,10.55,0.51,15.47
2018-03-01,NSE/CMPT/37092,Intra-day Loss Margin,Margin provisions for intra-day crystallised losses,,See PDF,,13.81,-6.88,10.79,-0.5,16.38
2018-03-23,NSE/CMPT/37279,Intra-day Loss Margin,Margin provisions for intra-day crystallised losses,,See PDF,,15.25,0.2,15.49,-1.1,13.21
2018-03-27,NSE/CMPT/37325,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,15.2,-2.63,14.1,-2.84,19.82
2018-04-27,NSE/CMPT/37652,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,12.04,-6.96,4.78,1.31,9.9
2018-05-02,NSE/CMPT/37678,Additional Margin Measure,Additional Risk management measures for derivatives segment,,See PDF,,12.36,3.87,5.6,1.81,13.18
2018-05-14,NSE/CMPT/37751,Client Margin Compliance,Client Margin Reporting,,See PDF,,13.98,1.6,8.35,1.07,6.54
2018-05-16,NSE/CMPT/37770,Additional Margin Measure,Additional Risk Management measures for long dated option contracts,,See PDF,,13.17,-7.71,8.02,0.78,6.82
2018-05-30,NSE/CMPT/37877,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,13.07,-7.7,12.22,-1.0,15.12
2018-05-31,NSE/CMPT/37887,Additional Margin Measure,Additional Risk management measures for derivatives segment,,See PDF,,13.41,1.98,11.97,-0.64,14.92
2018-06-22,NSE/CMPT/38123,Additional Exposure/Surveillance Margin,Additional Surveillance Margin,,See PDF,,12.45,3.15,7.2,-0.25,8.56
2018-06-27,NSE/CMPT/38172,Additional Margin Measure,Additional Risk management measures for derivatives segment,,See PDF,,12.8,5.18,8.2,-0.81,10.28
2018-06-28,NSE/CMPT/38188,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,13.51,8.51,9.14,-1.26,10.77
2018-07-02,NSE/CMPT/38210,Additional Exposure/Surveillance Margin,Additional Surveillance Margin,,See PDF,,12.94,2.86,12.19,-0.79,10.61
2018-07-06,NSE/CMPT/38269,Additional Exposure/Surveillance Margin,Additional Surveillance Margin,,See PDF,,12.58,-2.78,11.2,-0.67,7.85
2018-07-30,NSE/CMPT/38456,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,12.31,-5.38,6.77,3.12,10.48
2018-08-30,NSE/CMPT/38751,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,12.44,-2.51,8.81,2.25,13.06
2018-09-01,NSE/CMPT/38768,Additional Exposure/Surveillance Margin,Additional Surveillance Margin in Equity Derivatives Segment,,See PDF,,12.6,2.94,7.76,1.83,11.25
2018-09-04,NSE/CMPT/38807,Delivery Margin,Delivery margins for Physical Settlement in Equity Derivatives,,See PDF,,13.39,7.72,8.84,0.26,11.52
2018-09-07,NSE/CMPT/38849,Other Margin Circular,Revised file format of Daily File for Exposure Margin,,See PDF,,13.72,8.89,9.88,-0.17,12.89
2018-09-12,NSE/CMPT/38879,Additional Exposure/Surveillance Margin,Additional Surveillance Margin in Equity Derivatives Segment,,See PDF,,15.33,12.31,10.8,-3.46,10.17
2018-09-25,NSE/CMPT/38967,Additional Margin Measure,Additional Margins in Equity Derivatives Segment,Hike,See PDF,,17.43,20.21,15.64,-5.36,19.03
2018-09-27,NSE/CMPT/38997,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,17.09,21.98,15.9,-2.07,23.29
2018-09-28,NSE/CMPT/39018,Additional Margin Measure,Additional Margin in Equity Derivatives Segment,,See PDF,,16.92,8.88,14.96,-3.45,23.22
2018-10-12,NSE/CMPT/39152,Additional Margin Measure,Additional Margins in Equity Derivatives Segment,,See PDF,,20.55,4.16,23.42,-6.77,25.88
2018-10-30,NSE/CMPT/39292,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,19.83,4.15,19.37,-2.49,19.16
2018-11-29,NSE/CMPT/39537,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,17.96,-8.18,11.23,1.44,11.72
2018-12-17,NSE/CMPT/39673,Framework Revision,Review of Risk Management Framework for Equity Derivatives Segment,,See PDF,,15.16,-25.83,19.19,-0.72,19.29
2018-12-21,NSE/CMPT/39743,Additional Margin Measure,Additional Margins in Equity Derivatives Segment,,See PDF,,14.33,-5.47,15.63,2.41,15.46
2018-12-26,NSE/CMPT/39766,Framework Revision,Review of Risk management framework for Equity Derivatives Segment,,See PDF,,15.75,8.02,16.09,1.08,14.74
2018-12-26,NSE/CMPT/39767,Additional Exposure/Surveillance Margin,Additional Surveillance Margin in Equity Derivatives Segment,,See PDF,,15.75,8.02,16.09,1.08,14.74
2018-12-28,NSE/CMPT/39799,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,16.07,12.14,13.19,-0.11,12.29
2019-01-09,NSE/CMPT/39906,Framework Revision,Review of Risk management framework for Equity Derivatives Segment,,See PDF,,15.7,-4.21,9.95,1.3,11.33
2019-01-15,NSE/CMPT/39947,Framework Revision,Review of Risk management framework for Equity Derivatives Segment,,See PDF,,16.16,2.93,9.24,-1.15,11.79
2019-01-30,NSE/CMPT/40088,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,18.43,1.88,8.37,-2.19,9.69
2019-02-27,NCL/CMPT/40327,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,17.11,0.29,11.24,0.04,11.38
2019-03-15,NCL/CMPT/40458,Additional Margin Measure,Additional Margin in Equity Derivatives Segment,,See PDF,,15.15,1.41,8.6,5.1,11.28
2019-03-26,NCL/CMPT/40549,Initial Margin Change,Initial Margins for BANKNIFTY contracts,,BankNifty,,16.67,-1.36,10.31,1.67,15.97
2019-03-28,NCL/CMPT/40583,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,17.05,6.36,10.41,0.91,15.79
2019-04-16,NCL/CMPT/40776,Additional Margin Measure,Additional Risk Management measures for long dated option contracts,,See PDF,,21.39,5.47,8.62,-0.2,11.9
2019-04-26,NCL/CMPT/40862,Exposure Margin Update,Sub: Applicable Exposure Margin,,See PDF,,23.23,2.15,12.7,0.5,17.61
2019-06-27,NCL/CMPT/41434,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,14.75,5.36,13.04,-0.56,14.28
2019-07-31,NCL/CMPT/41751,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,13.61,6.66,8.43,-5.15,16.24
2019-08-29,NCL/CMPT/42006,Exposure Margin Update,Applicable Exposure Margin,,See PDF,,16.84,-5.66,16.99,0.15,27.1
2019-09-16,NCL/CMPT/42144,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,14.12,-13.21,14.64,1.17,18.01
